,start_dt,stop_dt,activation_state,fishing_net,behaviour,group_size,date,sequence,file
9715.json,2020-07-17 09:02:39.772561658,2020-07-17 09:02:39.968332409,DUR+AFT,Present,Attraction,4.0,2020-07-17 09:02:00,2020-07-17_08:57,2020-07-17_09:02
4979.json,2022-07-18 18:30:44.202899093,2022-07-18 18:30:45.113631283,AFT,Absent,Foraging,7.0,2022-07-18 18:30:00,2022-07-18_18:23,2022-07-18_18:30
9186.json,2020-07-17 08:19:39.813948530,2020-07-17 08:19:40.766683269,BEF+DUR,Present,Attraction,7.0,2020-07-17 08:19:00,2020-07-17_08:08,2020-07-17_08:19
5246.json,2022-07-18 19:08:44.986097851,2022-07-18 19:08:45.239048698,DUR,Absent,Foraging,4.0,2022-07-18 19:08:00,2022-07-18_19:03,2022-07-18_19:08
4359.json,2022-07-18 19:49:22.495379416,2022-07-18 19:49:24.012420474,DUR,Absent,Foraging,10.0,2022-07-18 19:49:00,2022-07-18_19:28,2022-07-18_19:49
10469.json,2020-07-16 08:27:50.566992281,2020-07-16 08:27:50.987115436,DUR,Absent,Foraging,40.0,2020-07-16 08:27:00,2020-07-16_08:23,2020-07-16_08:27
8065.json,2020-07-13 06:45:02.767630983,2020-07-13 06:45:03.447540328,Control,Present,Attraction,12.0,2020-07-13 06:45:00,2020-07-13_06:37,2020-07-13_06:45
11228.json,2020-07-16 10:08:40.800502001,2020-07-16 10:08:41.016050840,DUR,Present,Foraging,8.0,2020-07-16 10:08:00,2020-07-16_10:06,2020-07-16_10:08
2931.json,2020-07-18 08:59:04.675241679,2020-07-18 08:59:05.594912050,DUR,Present,Travelling,20.0,2020-07-18 08:59:00,2020-07-18_08:57,2020-07-18_08:59
8347.json,2020-07-13 06:44:56.333065683,2020-07-13 06:44:56.462343754,Control,Present,Attraction,10.0,2020-07-13 06:44:00,2020-07-13_06:37,2020-07-13_06:44
8618.json,2020-07-13 06:40:07.741680327,2020-07-13 06:40:08.703555768,DUR+AFT,Present,Attraction,10.0,2020-07-13 06:40:00,2020-07-13_06:37,2020-07-13_06:40
6211.json,2020-07-12 13:57:55.556752833,2020-07-12 13:57:56.027330332,Control,Present,Travelling,3.0,2020-07-12 13:57:00,2020-07-12_13:42,2020-07-12_13:57
7811.json,2020-07-13 07:23:55.112651646,2020-07-13 07:23:55.384615385,Control,Present,Travelling,10.0,2020-07-13 07:23:00,2020-07-13_07:18,2020-07-13_07:23
2582.json,2022-07-17 17:49:30.962382039,2022-07-17 17:49:31.737281377,DUR,Absent,Foraging,8.0,2022-07-17 17:49:00,2022-07-17_17:21,2022-07-17_17:49
12887.json,2022-07-16 19:03:28.260231969,2022-07-16 19:03:28.884598416,Control,Absent,Foraging,3.0,2022-07-16 19:03:00,2022-07-16_19:01,2022-07-16_19:03
8486.json,2020-07-13 06:38:53.565276181,2020-07-13 06:38:54.720584124,BEF+DUR,Absent,Attraction,10.0,2020-07-13 06:38:00,2020-07-13_06:37,2020-07-13_06:38
4551.json,2022-07-18 19:04:06.827188228,2022-07-18 19:04:07.244913321,DUR,Absent,Foraging,8.0,2022-07-18 19:04:00,2022-07-18_19:03,2022-07-18_19:04
1836.json,2022-07-17 17:32:20.703700426,2022-07-17 17:32:20.963789677,DUR,Absent,Foraging,5.0,2022-07-17 17:32:00,2022-07-17_17:21,2022-07-17_17:32
831.json,2020-07-11 11:56:02.826528721,2020-07-11 11:56:04.167444341,DUR,Present,Travelling,6.0,2020-07-11 11:56:00,2020-07-11_11:40,2020-07-11_11:56
13372.json,2021-07-09 11:26:24.391250783,2021-07-09 11:26:25.078573115,Control,Present,,,2021-07-09 11:26:00,2021-07-09_11:09,2021-07-09_11:26
9074.json,2020-07-17 08:11:04.519397413,2020-07-17 08:11:04.790300300,DUR,Present,Attraction,12.0,2020-07-17 08:11:00,2020-07-17_08:08,2020-07-17_08:11
11112.json,2020-07-16 10:07:28.916701753,2020-07-16 10:07:29.624450593,DUR,Present,Travelling,8.0,2020-07-16 10:07:00,2020-07-16_10:06,2020-07-16_10:07
8282.json,2020-07-13 07:22:48.511192436,2020-07-13 07:22:49.221270877,Control,Present,Travelling,10.0,2020-07-13 07:22:00,2020-07-13_07:18,2020-07-13_07:22
6968.json,2020-07-12 13:43:47.257698973,2020-07-12 13:43:48.849486735,DUR,Present,Attraction,8.0,2020-07-12 13:43:00,2020-07-12_13:42,2020-07-12_13:43
12476.json,2020-07-16 09:01:24.435589552,2020-07-16 09:01:25.067308139,DUR,Present,Travelling,6.0,2020-07-16 09:01:00,2020-07-16_08:58,2020-07-16_09:01
5894.json,2020-07-12 10:10:19.917344354,2020-07-12 10:10:20.294738268,Control,Present,Travelling,5.0,2020-07-12 10:10:00,2020-07-12_10:09,2020-07-12_10:10
6141.json,2020-07-12 13:45:25.577378314,2020-07-12 13:45:25.788774042,DUR,Present,Attraction,8.0,2020-07-12 13:45:00,2020-07-12_13:42,2020-07-12_13:45
3661.json,2022-07-18 19:09:49.811646274,2022-07-18 19:09:50.567171079,DUR,Absent,Foraging,4.0,2022-07-18 19:09:00,2022-07-18_19:03,2022-07-18_19:09
5492.json,2020-07-12 14:05:28.197682962,2020-07-12 14:05:28.447897788,Control,Present,Travelling,6.0,2020-07-12 14:05:00,2020-07-12_13:42,2020-07-12_14:05
3182.json,2020-07-18 08:12:45.360595943,2020-07-18 08:12:46.033694713,DUR,Present,Travelling,1.0,2020-07-18 08:12:00,2020-07-18_07:53,2020-07-18_08:12
11525.json,2020-07-16 08:26:46.157752626,2020-07-16 08:26:46.964947099,DUR,Absent,Foraging,40.0,2020-07-16 08:26:00,2020-07-16_08:23,2020-07-16_08:26
4217.json,2022-07-18 19:18:38.339166524,2022-07-18 19:18:38.504195603,DUR+AFT,Absent,Foraging,4.0,2022-07-18 19:18:00,2022-07-18_19:03,2022-07-18_19:18
12618.json,2020-07-16 09:56:01.037705601,2020-07-16 09:56:02.004487943,DUR,Present,Attraction,7.0,2020-07-16 09:56:00,2020-07-16_09:51,2020-07-16_09:56
7597.json,2020-07-13 07:36:08.625887562,2020-07-13 07:36:09.306812174,Control,Present,Attraction,8.0,2020-07-13 07:36:00,2020-07-13_07:32,2020-07-13_07:36
2968.json,2020-07-18 08:59:02.199680062,2020-07-18 08:59:02.600206522,DUR,Present,Travelling,20.0,2020-07-18 08:59:00,2020-07-18_08:57,2020-07-18_08:59
11731.json,2020-07-16 09:06:29.865512251,2020-07-16 09:06:30.454234858,DUR,Present,Travelling,5.0,2020-07-16 09:06:00,2020-07-16_08:58,2020-07-16_09:06
5130.json,2022-07-18 17:16:52.491776052,2022-07-18 17:16:53.494304992,DUR+AFT,Absent,Attraction,6.0,2022-07-18 17:16:00,2022-07-18_17:13,2022-07-18_17:16
10122.json,2020-07-16 09:02:15.485203584,2020-07-16 09:02:15.935084802,DUR,Present,Travelling,6.0,2020-07-16 09:02:00,2020-07-16_08:58,2020-07-16_09:02
2254.json,2022-07-17 17:30:55.764989420,2022-07-17 17:30:56.127490998,BEF+DUR,Absent,Foraging,5.0,2022-07-17 17:30:00,2022-07-17_17:21,2022-07-17_17:30
2560.json,2022-07-17 17:47:08.110850479,2022-07-17 17:47:09.149338282,DUR,Absent,Foraging,8.0,2022-07-17 17:47:00,2022-07-17_17:21,2022-07-17_17:47
5113.json,2022-07-18 17:16:50.243292858,2022-07-18 17:16:50.786899237,DUR+AFT,Absent,Attraction,6.0,2022-07-18 17:16:00,2022-07-18_17:13,2022-07-18_17:16
2202.json,2022-07-17 17:30:37.508552344,2022-07-17 17:30:38.674913370,BEF+DUR,Absent,Foraging,5.0,2022-07-17 17:30:00,2022-07-17_17:21,2022-07-17_17:30
1431.json,2022-07-17 18:42:44.083914864,2022-07-17 18:42:44.822580221,DUR,Absent,Travelling,10.0,2022-07-17 18:42:00,2022-07-17_18:41,2022-07-17_18:42
8823.json,2020-07-13 06:39:21.925076656,2020-07-13 06:39:22.245033995,DUR,Absent,Attraction,10.0,2020-07-13 06:39:00,2020-07-13_06:37,2020-07-13_06:39
2423.json,2022-07-17 17:53:27.562643243,2022-07-17 17:53:27.845051606,DUR,Absent,Foraging,8.0,2022-07-17 17:53:00,2022-07-17_17:21,2022-07-17_17:53
221.json,2020-07-11 11:44:37.794960672,2020-07-11 11:44:39.090787895,DUR,Present,Travelling,35.0,2020-07-11 11:44:00,2020-07-11_11:40,2020-07-11_11:44
6165.json,2020-07-12 13:57:32.785757326,2020-07-12 13:57:33.697216000,Control,Present,Travelling,3.0,2020-07-12 13:57:00,2020-07-12_13:42,2020-07-12_13:57
6975.json,2020-07-12 09:40:37.493866926,2020-07-12 09:40:38.810825223,Control,Present,Attraction,15.0,2020-07-12 09:40:00,2020-07-12_09:39,2020-07-12_09:40
2310.json,2022-07-17 17:40:28.493650411,2022-07-17 17:40:29.140887192,DUR,Absent,Attraction,8.0,2022-07-17 17:40:00,2022-07-17_17:21,2022-07-17_17:40
5034.json,2022-07-18 18:54:08.197452812,2022-07-18 18:54:08.397976874,DUR,Absent,Foraging,5.0,2022-07-18 18:54:00,2022-07-18_18:23,2022-07-18_18:54
13745.json,2022-07-21 07:38:59.305789287,2022-07-21 07:38:59.517165102,DUR,Absent,Travelling,5.0,2022-07-21 07:38:00,2022-07-21_07:35,2022-07-21_07:38
2437.json,2022-07-17 17:53:51.263201491,2022-07-17 17:53:52.275258745,DUR,Absent,Foraging,8.0,2022-07-17 17:53:00,2022-07-17_17:21,2022-07-17_17:53
9132.json,2020-07-17 08:38:35.222334124,2020-07-17 08:38:36.094595567,BEF+DUR,Present,Travelling,25.0,2020-07-17 08:38:00,2020-07-17_08:37,2020-07-17_08:38
6033.json,2020-07-12 14:02:52.296588141,2020-07-12 14:02:53.115389223,Control,Present,Attraction,2.0,2020-07-12 14:02:00,2020-07-12_13:42,2020-07-12_14:02
4762.json,2022-07-18 17:58:10.210249441,2022-07-18 17:58:10.959610381,BEF+DUR,Absent,Foraging,12.0,2022-07-18 17:58:00,2022-07-18_17:37,2022-07-18_17:58
3010.json,2020-07-18 08:10:14.254099452,2020-07-18 08:10:14.422077056,DUR,Present,Travelling,1.0,2020-07-18 08:10:00,2020-07-18_07:53,2020-07-18_08:10
6006.json,2020-07-12 14:02:19.188757076,2020-07-12 14:02:19.709372084,Control,Present,Attraction,2.0,2020-07-12 14:02:00,2020-07-12_13:42,2020-07-12_14:02
12979.json,2021-07-09 11:25:17.336210666,2021-07-09 11:25:17.593604539,Control,Present,,,2021-07-09 11:25:00,2021-07-09_11:09,2021-07-09_11:25
6989.json,2020-07-12 09:40:00.471614718,2020-07-12 09:40:01.453985276,Control,Present,Attraction,15.0,2020-07-12 09:40:00,2020-07-12_09:39,2020-07-12_09:40
10923.json,2020-07-16 10:21:09.554561183,2020-07-16 10:21:10.722258105,DUR+AFT,Present,Milling,5.0,2020-07-16 10:21:00,2020-07-16_10:21,2020-07-16_10:21
8946.json,2020-07-13 07:39:06.454350639,2020-07-13 07:39:07.197220142,Control,Present,Attraction,8.0,2020-07-13 07:39:00,2020-07-13_07:32,2020-07-13_07:39
12446.json,2020-07-16 09:38:11.708888893,2020-07-16 09:38:12.142381016,Control,Present,Attraction,5.0,2020-07-16 09:38:00,2020-07-16_09:30,2020-07-16_09:38
6375.json,2020-07-12 13:59:33.018568263,2020-07-12 13:59:33.604431343,Control,Present,Attraction,2.0,2020-07-12 13:59:00,2020-07-12_13:42,2020-07-12_13:59
7104.json,2020-07-12 14:04:20.141314491,2020-07-12 14:04:20.317291028,Control,Present,Attraction,2.0,2020-07-12 14:04:00,2020-07-12_13:42,2020-07-12_14:04
3069.json,2020-07-18 08:58:10.268234774,2020-07-18 08:58:10.848253679,BEF+DUR,Present,Travelling,20.0,2020-07-18 08:58:00,2020-07-18_08:57,2020-07-18_08:58
476.json,2020-07-11 13:21:58.307014498,2020-07-11 13:21:58.859694141,DUR+AFT,Present,Travelling,11.0,2020-07-11 13:21:00,2020-07-11_13:15,2020-07-11_13:21
552.json,2020-07-11 11:43:14.846020531,2020-07-11 11:43:15.292361019,DUR,Present,Travelling,35.0,2020-07-11 11:43:00,2020-07-11_11:40,2020-07-11_11:43
12261.json,2020-07-16 09:54:42.978995492,2020-07-16 09:54:43.764223343,DUR,Present,Attraction,7.0,2020-07-16 09:54:00,2020-07-16_09:51,2020-07-16_09:54
6914.json,2020-07-12 11:49:52.177043061,2020-07-12 11:49:52.760965205,DUR,Absent,Travelling,3.0,2020-07-12 11:49:00,2020-07-12_11:48,2020-07-12_11:49
2887.json,2020-07-18 08:47:06.025494840,2020-07-18 08:47:06.133787169,AFT,Present,Socialising,10.0,2020-07-18 08:47:00,2020-07-18_08:45,2020-07-18_08:47
12579.json,2020-07-16 09:07:49.069918982,2020-07-16 09:07:49.195884327,DUR,Present,Travelling,5.0,2020-07-16 09:07:00,2020-07-16_08:58,2020-07-16_09:07
392.json,2020-07-11 11:58:18.112206187,2020-07-11 11:58:18.377197920,DUR,Present,Travelling,6.0,2020-07-11 11:58:00,2020-07-11_11:40,2020-07-11_11:58
9801.json,2020-07-16 06:56:40.199922835,2020-07-16 06:56:41.257904110,BEF+DUR,Absent,Travelling,6.0,2020-07-16 06:56:00,2020-07-16_06:55,2020-07-16_06:56
5217.json,2022-07-18 19:08:33.269196669,2022-07-18 19:08:33.711671434,DUR,Absent,Foraging,4.0,2022-07-18 19:08:00,2022-07-18_19:03,2022-07-18_19:08
1491.json,2022-07-17 18:45:51.179459492,2022-07-17 18:45:51.702122747,DUR,Absent,Travelling,10.0,2022-07-17 18:45:00,2022-07-17_18:41,2022-07-17_18:45
3466.json,2022-07-18 19:16:03.916395040,2022-07-18 19:16:04.674357860,DUR,Absent,Foraging,4.0,2022-07-18 19:16:00,2022-07-18_19:03,2022-07-18_19:16
4525.json,2022-07-18 18:24:20.695497951,2022-07-18 18:24:21.127509378,BEF+DUR,Absent,Socialising,3.0,2022-07-18 18:24:00,2022-07-18_18:23,2022-07-18_18:24
11758.json,2020-07-16 09:04:48.576323359,2020-07-16 09:04:49.195798457,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04
4138.json,2022-07-18 19:18:30.295164879,2022-07-18 19:18:31.015108442,DUR+AFT,Absent,Foraging,4.0,2022-07-18 19:18:00,2022-07-18_19:03,2022-07-18_19:18
884.json,2020-07-11 11:52:29.722582705,2020-07-11 11:52:30.271236079,DUR,Present,Foraging,8.0,2020-07-11 11:52:00,2020-07-11_11:40,2020-07-11_11:52
12379.json,2020-07-16 07:13:23.093718973,2020-07-16 07:13:24.366421250,DUR,Absent,Travelling,6.0,2020-07-16 07:13:00,2020-07-16_07:11,2020-07-16_07:13
1140.json,2020-07-11 11:51:43.205900421,2020-07-11 11:51:43.531139005,DUR,Present,Foraging,8.0,2020-07-11 11:51:00,2020-07-11_11:40,2020-07-11_11:51
11014.json,2020-07-16 09:31:05.639248100,2020-07-16 09:31:05.959205439,Control,Present,Attraction,5.0,2020-07-16 09:31:00,2020-07-16_09:30,2020-07-16_09:31
5083.json,2022-07-18 19:15:12.886671234,2022-07-18 19:15:13.158234459,DUR,Absent,Foraging,4.0,2022-07-18 19:15:00,2022-07-18_19:03,2022-07-18_19:15
11192.json,2020-07-16 10:08:50.199985361,2020-07-16 10:08:50.777621487,DUR,Present,Foraging,8.0,2020-07-16 10:08:00,2020-07-16_10:06,2020-07-16_10:08
6751.json,2020-07-12 13:56:49.286479736,2020-07-12 13:56:49.437418559,Control,Present,Travelling,3.0,2020-07-12 13:56:00,2020-07-12_13:42,2020-07-12_13:56
618.json,2020-07-11 08:57:19.594320523,2020-07-11 08:57:19.931789219,DUR,Absent,Socialising,8.0,2020-07-11 08:57:00,2020-07-11_08:36,2020-07-11_08:57
740.json,2020-07-11 13:17:06.555832832,2020-07-11 13:17:07.852301392,DUR,Present,Travelling,3.0,2020-07-11 13:17:00,2020-07-11_13:15,2020-07-11_13:17
13003.json,2021-07-09 11:16:29.807311360,2021-07-09 11:16:30.454704207,Control,Present,,,2021-07-09 11:16:00,2021-07-09_11:09,2021-07-09_11:16
6290.json,2020-07-12 13:59:19.861351820,2020-07-12 13:59:20.181309159,Control,Present,Attraction,2.0,2020-07-12 13:59:00,2020-07-12_13:42,2020-07-12_13:59
669.json,2020-07-11 09:03:37.566098726,2020-07-11 09:03:38.213367523,DUR,Absent,Socialising,8.0,2020-07-11 09:03:00,2020-07-11_08:36,2020-07-11_09:03
12449.json,2020-07-16 09:38:15.091498634,2020-07-16 09:38:15.702308868,Control,Present,Attraction,5.0,2020-07-16 09:38:00,2020-07-16_09:30,2020-07-16_09:38
3282.json,2022-07-18 19:42:43.572315538,2022-07-18 19:42:43.826003882,DUR,Absent,Travelling,6.0,2022-07-18 19:42:00,2022-07-18_19:28,2022-07-18_19:42
10829.json,2020-07-16 09:00:29.221700943,2020-07-16 09:00:29.788276580,DUR,Present,Travelling,6.0,2020-07-16 09:00:00,2020-07-16_08:58,2020-07-16_09:00
9053.json,2020-07-13 09:46:08.059889803,2020-07-13 09:46:09.181849959,Control,Absent,Socialising,4.0,2020-07-13 09:46:00,2020-07-13_09:43,2020-07-13_09:46
8893.json,2020-07-13 06:39:58.358206688,2020-07-13 06:39:58.686866135,DUR,Absent,Attraction,10.0,2020-07-13 06:39:00,2020-07-13_06:37,2020-07-13_06:39
729.json,2020-07-11 13:17:07.998933476,2020-07-11 13:17:08.607719793,DUR,Present,Travelling,3.0,2020-07-11 13:17:00,2020-07-11_13:15,2020-07-11_13:17
7676.json,2020-07-13 06:42:44.674157107,2020-07-13 06:42:45.329956006,BEF+DUR,Present,Attraction,10.0,2020-07-13 06:42:00,2020-07-13_06:37,2020-07-13_06:42
10379.json,2020-07-16 08:24:08.286757767,2020-07-16 08:24:09.081219160,BEF+DUR,Absent,Travelling,40.0,2020-07-16 08:24:00,2020-07-16_08:23,2020-07-16_08:24
11701.json,2020-07-16 09:06:06.028038331,2020-07-16 09:06:06.242603442,DUR,Present,Travelling,5.0,2020-07-16 09:06:00,2020-07-16_08:58,2020-07-16_09:06
6237.json,2020-07-12 13:57:54.648870990,2020-07-12 13:57:55.038642252,Control,Present,Travelling,3.0,2020-07-12 13:57:00,2020-07-12_13:42,2020-07-12_13:57
3450.json,2022-07-18 19:16:48.445059737,2022-07-18 19:16:48.644102146,DUR,Absent,Foraging,4.0,2022-07-18 19:16:00,2022-07-18_19:03,2022-07-18_19:16
12416.json,2020-07-16 09:38:16.632857311,2020-07-16 09:38:16.961415884,Control,Present,Attraction,5.0,2020-07-16 09:38:00,2020-07-16_09:30,2020-07-16_09:38
11789.json,2020-07-16 09:04:32.187708306,2020-07-16 09:04:32.339688042,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04
172.json,2020-07-11 11:41:39.427353312,2020-07-11 11:41:39.681655246,DUR,Present,Foraging,12.0,2020-07-11 11:41:00,2020-07-11_11:40,2020-07-11_11:41
5418.json,2020-07-12 14:01:19.156303126,2020-07-12 14:01:19.575363543,Control,Present,Attraction,2.0,2020-07-12 14:01:00,2020-07-12_13:42,2020-07-12_14:01
6218.json,2020-07-12 13:57:15.174557042,2020-07-12 13:57:15.432019899,Control,Present,Travelling,3.0,2020-07-12 13:57:00,2020-07-12_13:42,2020-07-12_13:57
13382.json,2021-07-09 11:26:22.701113903,2021-07-09 11:26:23.125526053,Control,Present,,,2021-07-09 11:26:00,2021-07-09_11:09,2021-07-09_11:26
3423.json,2022-07-18 16:42:47.419000692,2022-07-18 16:42:47.678843574,Control,Absent,Foraging,6.0,2022-07-18 16:42:00,2022-07-18_16:37,2022-07-18_16:42
8935.json,2020-07-13 07:39:00.028788057,2020-07-13 07:39:00.337349486,Control,Present,Attraction,8.0,2020-07-13 07:39:00,2020-07-13_07:32,2020-07-13_07:39
8182.json,2020-07-13 07:56:20.197307026,2020-07-13 07:56:20.517264364,DUR,Absent,Travelling,6.0,2020-07-13 07:56:00,2020-07-13_07:54,2020-07-13_07:56
7195.json,2020-07-12 13:44:51.681109185,2020-07-12 13:44:52.210597454,DUR,Present,Attraction,8.0,2020-07-12 13:44:00,2020-07-12_13:42,2020-07-12_13:44
5891.json,2020-07-12 10:10:41.491617708,2020-07-12 10:10:42.155971159,Control,Present,Travelling,5.0,2020-07-12 10:10:00,2020-07-12_10:09,2020-07-12_10:10
9765.json,2020-07-17 09:03:43.066257832,2020-07-17 09:03:43.242234369,AFT,Present,Attraction,4.0,2020-07-17 09:03:00,2020-07-17_08:57,2020-07-17_09:03
51.json,2020-07-11 09:36:10.464685475,2020-07-11 09:36:10.630582589,DUR,Present,Travelling,8.0,2020-07-11 09:36:00,2020-07-11_09:33,2020-07-11_09:36
10155.json,2020-07-16 09:39:00.063991467,2020-07-16 09:39:00.479936009,Control,Present,Attraction,5.0,2020-07-16 09:39:00,2020-07-16_09:30,2020-07-16_09:39
275.json,2020-07-11 09:35:54.059199148,2020-07-11 09:35:55.282208678,DUR,Present,Travelling,8.0,2020-07-11 09:35:00,2020-07-11_09:33,2020-07-11_09:35
48.json,2020-07-11 09:36:03.151579789,2020-07-11 09:36:03.511531796,DUR,Present,Travelling,8.0,2020-07-11 09:36:00,2020-07-11_09:33,2020-07-11_09:36
2743.json,2020-07-18 08:46:26.085816569,2020-07-18 08:46:26.337325383,DUR+AFT,Present,Socialising,10.0,2020-07-18 08:46:00,2020-07-18_08:45,2020-07-18_08:46
2471.json,2022-07-17 17:53:32.304866741,2022-07-17 17:53:32.729512147,DUR,Absent,Foraging,8.0,2022-07-17 17:53:00,2022-07-17_17:21,2022-07-17_17:53
9979.json,2020-07-16 09:05:03.078223376,2020-07-16 09:05:03.242388480,DUR,Present,Travelling,5.0,2020-07-16 09:05:00,2020-07-16_08:58,2020-07-16_09:05
12176.json,2020-07-16 08:28:40.089823024,2020-07-16 08:28:40.455395964,DUR,Absent,Foraging,40.0,2020-07-16 08:28:00,2020-07-16_08:23,2020-07-16_08:28
7049.json,2020-07-12 09:40:33.048228647,2020-07-12 09:40:33.894519809,Control,Present,Attraction,15.0,2020-07-12 09:40:00,2020-07-12_09:39,2020-07-12_09:40
11788.json,2020-07-16 09:04:29.452073057,2020-07-16 09:04:29.708038928,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04
4004.json,2022-07-18 18:32:13.486201840,2022-07-18 18:32:13.598186908,AFT,Absent,Foraging,7.0,2022-07-18 18:32:00,2022-07-18_18:23,2022-07-18_18:32
10243.json,2020-07-16 10:12:51.307420897,2020-07-16 10:12:51.441935742,DUR+AFT,Present,Milling,8.0,2020-07-16 10:12:00,2020-07-16_10:06,2020-07-16_10:12
2095.json,2022-07-17 17:31:44.368258072,2022-07-17 17:31:45.098294807,DUR,Absent,Foraging,5.0,2022-07-17 17:31:00,2022-07-17_17:21,2022-07-17_17:31
2276.json,2022-07-17 17:27:16.786564577,2022-07-17 17:27:17.257187836,DUR+AFT,Absent,Attraction,5.0,2022-07-17 17:27:00,2022-07-17_17:21,2022-07-17_17:27
1626.json,2022-07-17 17:52:45.153406722,2022-07-17 17:52:45.608614309,AFT,Absent,Foraging,8.0,2022-07-17 17:52:00,2022-07-17_17:21,2022-07-17_17:52
717.json,2020-07-11 13:17:46.305825890,2020-07-11 13:17:46.713771497,DUR,Present,Travelling,3.0,2020-07-11 13:17:00,2020-07-11_13:15,2020-07-11_13:17
8827.json,2020-07-13 06:39:57.011311398,2020-07-13 06:39:57.938189967,DUR,Absent,Attraction,10.0,2020-07-13 06:39:00,2020-07-13_06:37,2020-07-13_06:39
7154.json,2020-07-12 14:04:39.479616846,2020-07-12 14:04:40.094551099,Control,Present,Attraction,2.0,2020-07-12 14:04:00,2020-07-12_13:42,2020-07-12_14:04
2378.json,2022-07-17 17:25:24.146379657,2022-07-17 17:25:24.820524317,DUR,Absent,Attraction,5.0,2022-07-17 17:25:00,2022-07-17_17:21,2022-07-17_17:25
1184.json,2020-07-11 11:51:40.175930573,2020-07-11 11:51:40.348704693,DUR,Present,Foraging,8.0,2020-07-11 11:51:00,2020-07-11_11:40,2020-07-11_11:51
3628.json,2022-07-18 17:17:55.110782922,2022-07-18 17:17:55.386049857,DUR,Absent,Attraction,4.0,2022-07-18 17:17:00,2022-07-18_17:13,2022-07-18_17:17
3769.json,2022-07-18 19:17:23.901706975,2022-07-18 19:17:24.690988718,DUR,Absent,Foraging,4.0,2022-07-18 19:17:00,2022-07-18_19:03,2022-07-18_19:17
3333.json,2022-07-18 19:42:04.700002232,2022-07-18 19:42:04.821010290,DUR,Absent,Travelling,6.0,2022-07-18 19:42:00,2022-07-18_19:28,2022-07-18_19:42
4457.json,2022-07-18 19:07:53.704684509,2022-07-18 19:07:53.972235404,DUR,Absent,Foraging,4.0,2022-07-18 19:07:00,2022-07-18_19:03,2022-07-18_19:07
3857.json,2022-07-18 19:06:02.227489791,2022-07-18 19:06:02.685578593,DUR,Absent,Foraging,4.0,2022-07-18 19:06:00,2022-07-18_19:03,2022-07-18_19:06
8602.json,2020-07-13 06:40:41.731881129,2020-07-13 06:40:42.046853868,DUR+AFT,Present,Attraction,10.0,2020-07-13 06:40:00,2020-07-13_06:37,2020-07-13_06:40
9039.json,2020-07-13 09:46:13.222237035,2020-07-13 09:46:13.430209305,Control,Absent,Socialising,4.0,2020-07-13 09:46:00,2020-07-13_09:43,2020-07-13_09:46
9671.json,2020-07-17 08:13:23.303985530,2020-07-17 08:13:23.551979000,DUR+AFT,Present,Attraction,20.0,2020-07-17 08:13:00,2020-07-17_08:08,2020-07-17_08:13
7940.json,2020-07-13 06:43:38.952921511,2020-07-13 06:43:39.320272577,DUR+AFT,Present,Attraction,10.0,2020-07-13 06:43:00,2020-07-13_06:37,2020-07-13_06:43
12118.json,2020-07-16 10:09:32.628920889,2020-07-16 10:09:32.996421416,DUR,Present,Foraging,8.0,2020-07-16 10:09:00,2020-07-16_10:06,2020-07-16_10:09
481.json,2020-07-11 13:21:36.835196091,2020-07-11 13:21:37.642980936,DUR+AFT,Present,Travelling,11.0,2020-07-11 13:21:00,2020-07-11_13:15,2020-07-11_13:21
422.json,2020-07-11 11:58:38.386188329,2020-07-11 11:58:39.100097065,DUR,Present,Travelling,6.0,2020-07-11 11:58:00,2020-07-11_11:40,2020-07-11_11:58
5854.json,2020-07-12 13:46:45.385948540,2020-07-12 13:46:45.809892014,DUR,Present,Attraction,8.0,2020-07-12 13:46:00,2020-07-12_13:42,2020-07-12_13:46
5587.json,2020-07-12 10:11:32.851619784,2020-07-12 10:11:33.659512065,Control,Present,Travelling,5.0,2020-07-12 10:11:00,2020-07-12_10:09,2020-07-12_10:11
3360.json,2022-07-18 18:04:27.051021047,2022-07-18 18:04:27.832575340,AFT,Absent,Foraging,12.0,2022-07-18 18:04:00,2022-07-18_17:37,2022-07-18_18:04
4718.json,2022-07-18 19:11:28.829359502,2022-07-18 19:11:29.029953022,DUR,Absent,Foraging,4.0,2022-07-18 19:11:00,2022-07-18_19:03,2022-07-18_19:11
13253.json,2021-07-09 11:12:02.674883634,2021-07-09 11:12:04.178477871,Control,Present,,,2021-07-09 11:12:00,2021-07-09_11:09,2021-07-09_11:12
7024.json,2020-07-12 09:40:33.750277218,2020-07-12 09:40:33.976849019,Control,Present,Attraction,15.0,2020-07-12 09:40:00,2020-07-12_09:39,2020-07-12_09:40
11977.json,2020-07-16 08:59:23.375214550,2020-07-16 08:59:23.720654456,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59
6643.json,2020-07-12 13:58:03.391811642,2020-07-12 13:58:03.729043410,Control,Present,Attraction,2.0,2020-07-12 13:58:00,2020-07-12_13:42,2020-07-12_13:58
